Product Name,Link
国本 大悟,https://www.amazon.co.jp/%25E5%259B%25BD%25E6%259C%25AC-%25E5%25A4%25A7%25E6%2582%259F/e/B07T42C7S1?ref=sr_ntt_srch_lnk_1&sr=8-1
須藤 秋良,https://www.amazon.co.jp/%25E9%25A0%2588%25E8%2597%25A4-%25E7%25A7%258B%25E8%2589%25AF/e/B07T5826FD?ref=sr_ntt_srch_lnk_1&sr=8-1
130,https://www.amazon.co.jp/%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8BPython%E5%85%A5%E9%96%80-%E7%AC%AC2%E7%89%88-%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8B%E5%85%A5%E9%96%80%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E5%9B%BD%E6%9C%AC-%E5%A4%A7%E6%82%9F/dp/4295016365#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8BPython%E5%85%A5%E9%96%80-%E7%AC%AC2%E7%89%88-%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8B%E5%85%A5%E9%96%80%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E5%9B%BD%E6%9C%AC-%E5%A4%A7%E6%82%9F/dp/4295016365
"￥2,750￥2,750",https://www.amazon.co.jp/%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8BPython%E5%85%A5%E9%96%80-%E7%AC%AC2%E7%89%88-%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8B%E5%85%A5%E9%96%80%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E5%9B%BD%E6%9C%AC-%E5%A4%A7%E6%82%9F/dp/4295016365
(36点の中古品と新品),https://www.amazon.co.jp/gp/offer-listing/4295016365/ref=sr_1_1_olp?keywords=python+%E6%9C%AC&sr=8-1
Kindle版 (電子書籍),https://www.amazon.co.jp/%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8BPython%E5%85%A5%E9%96%80-%E7%AC%AC2%E7%89%88-%E3%82%B9%E3%83%83%E3%82%AD%E3%83%AA%E3%82%8F%E3%81%8B%E3%82%8B%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E5%9B%BD%E6%9C%AC%E5%A4%A7%E6%82%9F-ebook/dp/B0CMCW94LP
サプー,https://www.amazon.co.jp/%25E3%2582%25B5%25E3%2583%2597%25E3%2583%25BC/e/B0DB76DFKC?ref=sr_ntt_srch_lnk_2&sr=8-2
123,https://www.amazon.co.jp/VTuber%E3%82%B5%E3%83%97%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B%EF%BC%81-Python-%E5%88%9D%E5%BF%83%E8%80%85%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%8F%E3%83%97%E3%83%AD%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%89-%E3%82%B5%E3%83%97%E3%83%BC-ebook/dp/B0D8KNXRK9#customerReviews
Kindle版 (電子書籍),https://www.amazon.co.jp/VTuber%E3%82%B5%E3%83%97%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B%EF%BC%81-Python-%E5%88%9D%E5%BF%83%E8%80%85%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%8F%E3%83%97%E3%83%AD%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%89-%E3%82%B5%E3%83%97%E3%83%BC-ebook/dp/B0D8KNXRK9
